name,url,img,poem
1997 Teddy,https://www.angelfire.com/ar/bbcollector/97teddy.html,img/97teddy.gif,Beanie Babies are special no doubt All filled with love - inside and out Wishes for fun times filled with joy Ty's holiday teddy is a magical toy!
Teddy,https://www.angelfire.com/ar/bbcollector/teddy.html,img/teddy.gif,"Teddy wanted to go out today All of his friends went out to play But he'd rather help whatever you do After all, his best friend is you!"
Tuffy the Terrier,https://www.angelfire.com/ar/bbcollector/tuffy.html,img/tuffy.gif,Taking off with a thunderous blast Tuffy rides his motorcycle fast The Beanies roll with laughs and squeals He never took off his training wheels!
Tusk the Walrus,https://www.angelfire.com/ar/bbcollector/tusk.html,img/tusk.gif,"Tusk brushes his teeth everyday To keep them shiny, it's the only way Teeth are special, so you must try And they will sparkle when you say ""Hi""!"
Twigs the Giraffe,https://www.angelfire.com/ar/bbcollector/twigs.html,img/twigs.gif,"Twigs has his head in the clouds He stands tall, he stands proud With legs so skinny they wobble and shake What an unusual friend he will make!"
Valentino the Bear,https://www.angelfire.com/ar/bbcollector/valentino.html,img/valentino.gif,His heart is red and full of love He cares for you so give him a hug Keep him close when feeling blue Feel the love he has for you!
Velvet the Panther,https://www.angelfire.com/ar/bbcollector/velvet.html,img/velvet.gif,Velvet loves to sleep in the trees Lulled to dreams by the buzz of the bees She snoozes all day and plays all night Running and jumping in the moonlight!
Waddle the Penguin,https://www.angelfire.com/ar/bbcollector/waddle.html,img/waddle.gif,"Waddle the Penguin likes to dress up Every night he wears his tux When Waddle walks, it never fails He always trips over his tails!"
Waves the Whale,https://www.angelfire.com/ar/bbcollector/waves.html,img/waves.gif,Join him today on the Internet Don't be afraid to get your feet wet He taught all the Beanies how to surf Our web page is his home turf!
Weenie the Dachshund,https://www.angelfire.com/ar/bbcollector/weenie.html,img/weenie.gif,Weenie the dog is quite a sight Long of body and short of height He perches himself high on a log And considers himself to be top dog!
Wrinkles the Bulldog,https://www.angelfire.com/ar/bbcollector/wrinkles.html,img/wrinkles.gif,This little dog is named Wrinkles His nose is soft and often crinkles Likes to climb up on your lap He's a cheery sort of chap!
Ziggy the Zebra,https://www.angelfire.com/ar/bbcollector/ziggy.html,img/ziggy.gif,Ziggy likes soccer - he's a referee That way he watches the games for free The other Beanies don't think it's fair But Ziggy the Zebra doesn't care!
Zip the Cat,https://www.angelfire.com/ar/bbcollector/zip.html,img/zip.gif,"Keep Zip by your side all the day through Zip is good luck, you'll see it's true When you have something you need to do Zip will always believe in you!"
